Coin,classification,Avg_PnL,Total_PnL
@1,Extreme Greed,18.35805774074074,495.667559
@1,Fear,0.0,0.0
@1,Greed,0.1797798333333335,1.078679000000001
@10,Extreme Fear,-0.031742,-0.063484
@10,Fear,0.0,0.0
@10,Greed,0.0,0.0
@100,Extreme Greed,6.9067855,27.627142
@103,Extreme Greed,6.812669,34.063345
@103,Greed,2.2473455,4.494691
@107,Extreme Fear,-89.5887875576037,-136085.3683
@107,Extreme Greed,191.1582114651543,1988618.873872
@107,Fear,-2.2912565496155253,-12514.843273999999
@107,Greed,86.25176302214813,724342.30586
@107,Neutral,52.15010709216152,219551.950858
@109,Extreme Greed,0.9092509999999999,2.727753
@109,Fear,0.0,0.0
@109,Greed,416.2189364615385,5410.846174
@109,Neutral,0.510213,0.510213
@11,Fear,0.0,0.0
@112,Extreme Greed,-13.289846599999999,-66.44923299999999
@112,Greed,7.1672545,14.334509
@113,Extreme Greed,5.165235666666667,15.495707
@113,Greed,0.7152565,1.430513
@114,Greed,0.6545385,1.309077
@116,Extreme Greed,0.083239,0.249717
@116,Greed,0.736616,1.473232
@117,Extreme Greed,0.0,0.0
@117,Greed,2.3158445,4.631689
@12,Extreme Greed,0.0,0.0
@12,Greed,0.0,0.0
@123,Extreme Greed,0.0,0.0
@124,Extreme Greed,-16.0754845,-128.603876
@125,Extreme Greed,20.636525260869565,474.640081
@125,Greed,-17.395919000000003,-104.37551400000001
@13,Extreme Fear,-0.061895,-0.12379
@13,Fear,0.0,0.0
@135,Extreme Greed,-5981.36399,-5981.36399
@138,Fear,15.71019,31.42038
@138,Neutral,9.765152,19.530304
@14,Fear,0.0,0.0
@142,Extreme Fear,15.529335370370372,1257.8761650000001
@142,Fear,1.8444869280000005,461.1217320000001
@142,Greed,1.6774342015037595,1115.493744
@142,Neutral,14.747182207667732,4615.868031
@147,Greed,-70.1265388,-350.632694
@15,Fear,0.0,0.0
@151,Fear,-1.4904160666666668,-44.712482
@151,Greed,39.960670965635735,11628.555251
@151,Neutral,0.0,0.0
@152,Fear,0.006818159090909091,0.599998
@153,Fear,0.020609892857142854,0.577077
@153,Greed,0.47452041095890407,34.63999
@153,Neutral,0.0,0.0
@16,Extreme Fear,-0.0302145,-0.060429
@16,Fear,0.0,0.0
@16,Greed,0.0,0.0
@17,Greed,0.0,0.0
