Coin,Avg_PnL,Total_PnL
@107,92.82184979381168,2783912.919016
HYPE,28.65207852012352,1948484.599761
SOL,153.35851908203162,1639555.927506
ETH,118.29887424735615,1319978.838852
BTC,33.30435591766421,868044.732638
MELANIA,88.15516482746162,390351.069856
ENA,219.52475106464647,217329.503554
SUI,100.69168010207176,199268.834922
ZRO,148.3275090306699,183777.783689
DOGE,178.6236761912833,147543.156534
PURR/USDC,27.130878882119685,75261.058019
AIXBT,90.00264822344322,73712.168895
BERA,69.91437057590133,73689.746587
USUAL,116.44137665050167,69631.943237
EIGEN,197.06318894545456,65030.852352
AVAX,239.09561309405942,48297.313845000004
ETHFI,141.2508233890675,43929.006074
JUP,66.62922875310558,42909.223316999996
kBONK,21.585455540983606,35551.245276
JELLY,35.47753653629032,35193.716244
PURR,22.342533557595992,26766.355202
@85,200.80409097727272,26506.140009
ONDO,16.794822218045113,24570.824905
WLD,11.236470073625819,22281.920156
ANIME,32.29887580454545,21317.258031
ZEREBRO,27.52526043953186,21166.925278
LAYER,42.87957133891213,20496.4351
VIRTUAL,34.28856404912281,19544.481508
kPEPE,10.795952187283238,18676.997284
TAO,15.543383059149724,16817.94047
MOODENG,151.09671353271028,16167.348348000001
ME,32.8112703647541,16011.899938
PNUT,25.332703721843004,14844.964381
NEAR,62.589847439461884,13957.535979
RNDR,77.08137817045454,13566.322558
TIA,40.439435571428575,13021.498254
@151,35.75260113888889,11583.842769
SEI,42.37352113191489,9957.777466
APE,14.062731127167629,9731.40994
ARB,65.54136095238096,9634.58006
WIF,31.088584010380625,8984.600779
TURBO,102.89313185542169,8540.129944
MAVIA,27.709060553691273,8257.300045
GOAT,78.29751096153846,8142.94114
OP,46.69535819075145,8078.296967
AI16Z,14.859912348148148,8024.352668
PENDLE,6.6202658695278975,7712.609738
AAVE,12.794885442735042,7485.007984
@142,5.69164222459893,7450.359672
JTO,55.28396396268657,7408.051171
GRIFFAIN,12.619466183274023,7092.139995
FTM,77.70973278651685,6916.166218
FTT,4.429079337820513,6909.363767
ZORA,44.84547914473684,6816.51283
RUNE,19.392512804347827,6244.389123
RENDER,26.069479726495725,6100.258256
INJ,37.466951886075954,5919.778398
ALT,23.577118650602408,5870.702544
LTC,29.456248816753927,5626.143524
SPX,62.36478998888889,5612.831099
@109,270.704207,5414.08414
ILV,33.39059594339623,5309.104755
PENGU,5.628199855447681,5217.341266
TNSR,7.368347425685426,5106.264766
VINE,5.890570540073982,4777.252708
CHILLGUY,21.989742260465118,4727.794586
ZETA,18.86776122857143,4622.601501
LINK,12.960840546478872,4601.098394
MEME,41.65607869158879,4457.20042
XRP,2.117757308342728,3756.901464999999
TST,20.351481024242425,3357.994369
BLUR,42.98883519230769,3353.129145
IP,6.488887215351813,3043.288104
COMP,29.625242357894738,2814.398024
ACE,110.4285964,2760.71491
MOVE,21.00733226229508,2562.894536
@59,55.58925232608696,2557.105607
PROMPT,19.023809416,2377.976177
